province,year,track,university,major,min_score,min_rank,batch,admission_count,subject_requirement,tuition,notes
广东,2025,物理,北京电影学院,专业组 213,605,23231,本科批,2,物理,0,院校代码:10050;专业组:213;计划数:2
广东,2025,物理,北京电影学院,专业组 214,594,31632,本科批,3,物理,0,院校代码:10050;专业组:214;计划数:3
广东,2025,物理,北京电影学院,专业组 215,605,22986,本科批,2,物理,0,院校代码:10050;专业组:215;计划数:2
广东,2025,物理,中央民族大学,专业组 220,604,23707,本科批,20,物理,0,院校代码:10052;专业组:220;计划数:19
广东,2025,物理,中央民族大学,专业组 222,608,20962,本科批,41,物理,0,院校代码:10052;专业组:222;计划数:41
广东,2025,物理,中央民族大学(内地澳门合作办学),专业组 224,602,25473,本科批,8,物理,0,院校代码:10052;专业组:224;计划数:8
广东,2025,物理,中国政法大学,专业组 208,616,16327,本科批,42,物理,0,院校代码:10053;专业组:208;计划数:42
广东,2025,物理,华北电力大学(北京),专业组 207,595,30358,本科批,12,物理,0,院校代码:10054;专业组:207;计划数:12
广东,2025,物理,华北电力大学(北京),专业组 208,610,19698,本科批,90,物理,0,院校代码:10054;专业组:208;计划数:90
广东,2025,物理,南开大学,专业组 205,644,5048,本科批,10,物理,0,院校代码:10055;专业组:205;计划数:8
广东,2025,物理,南开大学,专业组 206,647,4394,本科批,61,物理,0,院校代码:10055;专业组:206;计划数:61
广东,2025,物理,天津大学,专业组 203,632,8868,本科批,38,物理,0,院校代码:10056;专业组:203;计划数:38
广东,2025,物理,天津大学,专业组 204,636,7609,本科批,47,物理,0,院校代码:10056;专业组:204;计划数:47
广东,2025,物理,天津科技大学,专业组 210,548,84360,本科批,4,物理,0,院校代码:10057;专业组:210;计划数:4
广东,2025,物理,天津科技大学(中外合作办学),专业组 211,534,106156,本科批,3,物理,0,院校代码:10057;专业组:211;计划数:3
广东,2025,物理,天津科技大学,专业组 212,542,93102,本科批,44,物理,0,院校代码:10057;专业组:212;计划数:44
广东,2025,物理,天津科技大学(中外合作办学),专业组 213,557,71430,本科批,3,物理,0,院校代码:10057;专业组:213;计划数:3
广东,2025,物理,天津工业大学,专业组 213,566,60491,本科批,4,物理,0,院校代码:10058;专业组:213;计划数:4
广东,2025,物理,天津工业大学,专业组 214,562,64539,本科批,16,物理,0,院校代码:10058;专业组:214;计划数:16
广东,2025,物理,天津工业大学,专业组 215,573,51643,本科批,47,物理,0,院校代码:10058;专业组:215;计划数:47
广东,2025,物理,天津工业大学(中外合作办学),专业组 220,577,47852,本科批,6,物理,0,院校代码:10058;专业组:220;计划数:6
广东,2025,物理,中国民航大学,专业组 212,565,61338,本科批,23,物理,0,院校代码:10059;专业组:212;计划数:23
广东,2025,物理,中国民航大学,专业组 213,568,57974,本科批,168,物理,0,院校代码:10059;专业组:213;计划数:168
广东,2025,物理,天津理工大学,专业组 205,536,101615,本科批,16,物理,0,院校代码:10060;专业组:205;计划数:16
广东,2025,物理,天津理工大学(中外合作办学),专业组 206,534,105706,本科批,2,物理,0,院校代码:10060;专业组:206;计划数:2
广东,2025,物理,天津理工大学(中外合作办学),专业组 207,534,105192,本科批,6,物理,0,院校代码:10060;专业组:207;计划数:6
广东,2025,物理,天津理工大学,专业组 208,562,64911,本科批,22,物理,0,院校代码:10060;专业组:208;计划数:22
广东,2025,物理,天津理工大学,专业组 209,556,73281,本科批,26,物理,0,院校代码:10060;专业组:209;计划数:26
广东,2025,物理,天津理工大学,专业组 210,543,91204,本科批,24,物理,0,院校代码:10060;专业组:210;计划数:24
广东,2025,物理,天津理工大学(中外合作办学),专业组 211,556,72806,本科批,10,物理,0,院校代码:10060;专业组:211;计划数:10
广东,2025,物理,天津农学院,专业组 205,507,152857,本科批,1,物理,0,院校代码:10061;专业组:205;计划数:1
广东,2025,物理,天津农学院,专业组 206,499,167340,本科批,11,物理,0,院校代码:10061;专业组:206;计划数:11
广东,2025,物理,天津农学院,专业组 207,495,173475,本科批,22,物理,0,院校代码:10061;专业组:207;计划数:22
广东,2025,物理,天津农学院,专业组 208,525,120054,本科批,2,物理,0,院校代码:10061;专业组:208;计划数:2
广东,2025,物理,天津医科大学,专业组 202,592,33081,本科批,6,物理,0,院校代码:10062;专业组:202;计划数:6
广东,2025,物理,天津中医药大学,专业组 207,551,80308,本科批,4,物理,0,院校代码:10063;专业组:207;计划数:4
广东,2025,物理,天津中医药大学,专业组 208,569,55760,本科批,11,物理,0,院校代码:10063;专业组:208;计划数:11
广东,2025,物理,天津中医药大学,专业组 209,556,72642,本科批,7,物理,0,院校代码:10063;专业组:209;计划数:7
广东,2025,物理,天津中医药大学,专业组 210,545,87882,本科批,5,物理,0,院校代码:10063;专业组:210;计划数:5
广东,2025,物理,天津中医药大学,专业组 211,530,112069,本科批,15,物理,0,院校代码:10063;专业组:211;计划数:15
广东,2025,物理,天津师范大学,专业组 218,552,78300,本科批,4,物理,0,院校代码:10065;专业组:218;计划数:4
广东,2025,物理,天津师范大学,专业组 219,546,87279,本科批,9,物理,0,院校代码:10065;专业组:219;计划数:9
广东,2025,物理,天津师范大学,专业组 220,580,44016,本科批,1,物理,0,院校代码:10065;专业组:220;计划数:1
广东,2025,物理,天津师范大学,专业组 221,554,75850,本科批,4,物理,0,院校代码:10065;专业组:221;计划数:4
广东,2025,物理,天津师范大学,专业组 222,582,42521,本科批,1,物理,0,院校代码:10065;专业组:222;计划数:1
广东,2025,物理,天津师范大学,专业组 223,554,74786,本科批,12,物理,0,院校代码:10065;专业组:223;计划数:12
广东,2025,物理,天津师范大学,专业组 224,567,58947,本科批,2,物理,0,院校代码:10065;专业组:224;计划数:2
广东,2025,物理,天津师范大学,专业组 225,555,74597,本科批,9,物理,0,院校代码:10065;专业组:225;计划数:9
广东,2025,物理,天津师范大学,专业组 226,556,72609,本科批,3,物理,0,院校代码:10065;专业组:226;计划数:3
广东,2025,物理,天津职业技术师范大学,专业组 203,533,106572,本科批,2,物理,0,院校代码:10066;专业组:203;计划数:2
广东,2025,物理,天津职业技术师范大学,专业组 204,518,131823,本科批,31,物理,0,院校代码:10066;专业组:204;计划数:31
广东,2025,物理,天津外国语大学,专业组 206,543,90968,本科批,6,物理,0,院校代码:10068;专业组:206;计划数:6
广东,2025,物理,天津外国语大学,专业组 207,540,95539,本科批,3,物理,0,院校代码:10068;专业组:207;计划数:3
广东,2025,物理,天津外国语大学,专业组 208,540,96330,本科批,5,物理,0,院校代码:10068;专业组:208;计划数:5
广东,2025,物理,天津外国语大学(中外合作办学),专业组 209,540,96749,本科批,1,物理,0,院校代码:10068;专业组:209;计划数:1
广东,2025,物理,天津外国语大学,专业组 210,569,56240,本科批,1,物理,0,院校代码:10068;专业组:210;计划数:1
广东,2025,物理,天津商业大学,专业组 213,514,139239,本科批,3,物理,0,院校代码:10069;专业组:213;计划数:3
广东,2025,物理,天津商业大学,专业组 214,518,132703,本科批,27,物理,0,院校代码:10069;专业组:214;计划数:27
广东,2025,物理,天津商业大学(中外合作办学),专业组 215,529,113723,本科批,6,物理,0,院校代码:10069;专业组:215;计划数:6
广东,2025,物理,天津商业大学,专业组 216,529,113465,本科批,23,物理,0,院校代码:10069;专业组:216;计划数:23
广东,2025,物理,天津财经大学,专业组 209,549,82295,本科批,13,物理,0,院校代码:10070;专业组:209;计划数:13
广东,2025,物理,天津财经大学(中外合作办学),专业组 210,544,89376,本科批,5,物理,0,院校代码:10070;专业组:210;计划数:5
广东,2025,物理,天津财经大学,专业组 211,559,69113,本科批,7,物理,0,院校代码:10070;专业组:211;计划数:7
广东,2025,物理,天津财经大学,专业组 212,550,81174,本科批,14,物理,0,院校代码:10070;专业组:212;计划数:14
广东,2025,物理,天津体育学院,专业组 211,524,122483,本科批,1,物理,0,院校代码:10071;专业组:211;计划数:1
广东,2025,物理,天津体育学院,专业组 212,504,156719,本科批,1,物理,0,院校代码:10071;专业组:212;计划数:1
