province,year,track,score,rank
广东,2025,物理,260,425695
广东,2025,物理,259,426026
广东,2025,物理,258,426346
广东,2025,物理,257,426676
广东,2025,物理,256,427000
广东,2025,物理,255,427338
广东,2025,物理,254,427639
广东,2025,物理,253,427941
广东,2025,物理,252,428237
广东,2025,物理,251,428522
广东,2025,物理,250,428819
广东,2025,物理,249,429106
广东,2025,物理,248,429372
广东,2025,物理,247,429655
广东,2025,物理,246,429904
广东,2025,物理,245,430184
广东,2025,物理,244,430443
广东,2025,物理,243,430666
广东,2025,物理,242,430889
广东,2025,物理,241,431144
广东,2025,物理,240,431391
广东,2025,物理,239,431641
广东,2025,物理,238,431883
广东,2025,物理,237,432111
广东,2025,物理,236,432316
广东,2025,物理,235,432535
广东,2025,物理,234,432732
广东,2025,物理,233,432948
广东,2025,物理,232,433127
广东,2025,物理,231,433310
广东,2025,物理,230,433511
广东,2025,物理,229,433691
广东,2025,物理,228,433888
广东,2025,物理,227,434058
广东,2025,物理,226,434246
广东,2025,物理,225,434435
广东,2025,物理,224,434595
广东,2025,物理,223,434748
广东,2025,物理,222,434891
广东,2025,物理,221,435041
广东,2025,物理,220,435188
广东,2025,物理,219,435343
广东,2025,物理,218,435505
广东,2025,物理,217,435630
广东,2025,物理,216,435766
广东,2025,物理,215,435882
广东,2025,物理,214,436004
广东,2025,物理,213,436112
广东,2025,物理,212,436227
广东,2025,物理,211,436322
广东,2025,物理,210,436412
广东,2025,物理,209,436529
广东,2025,物理,208,436638
广东,2025,物理,207,436735
广东,2025,物理,206,436837
广东,2025,物理,205,436918
广东,2025,物理,204,437013
广东,2025,物理,203,437092
广东,2025,物理,202,437181
广东,2025,物理,201,437271
广东,2025,物理,200,437354
广东,2025,物理,199,437434
广东,2025,物理,198,437513
广东,2025,物理,197,437589
广东,2025,物理,196,437662
广东,2025,物理,195,437749
广东,2025,物理,194,437809
广东,2025,物理,193,437874
广东,2025,物理,192,437941
广东,2025,物理,191,438002
广东,2025,物理,190,438064
广东,2025,物理,189,438127
广东,2025,物理,188,438200
广东,2025,物理,187,438258
广东,2025,物理,186,438313
广东,2025,物理,185,438377
广东,2025,物理,184,438413
广东,2025,物理,183,438466
广东,2025,物理,182,438519
广东,2025,物理,181,438573
广东,2025,物理,180,438620
广东,2025,物理,179,438673
广东,2025,物理,178,438725
广东,2025,物理,177,438767
广东,2025,物理,176,438820
广东,2025,物理,175,438870
广东,2025,物理,174,438922
广东,2025,物理,173,438976
广东,2025,物理,172,439022
广东,2025,物理,171,439069
广东,2025,物理,170,439103
广东,2025,物理,169,439144
广东,2025,物理,168,439184
广东,2025,物理,167,439223
广东,2025,物理,166,439253
广东,2025,物理,165,439291
广东,2025,物理,164,439324
广东,2025,物理,163,439354
广东,2025,物理,162,439385
广东,2025,物理,161,439417
广东,2025,物理,160,439448
广东,2025,物理,159,439476
广东,2025,物理,158,439498
广东,2025,物理,157,439517
广东,2025,物理,156,439549
广东,2025,物理,155,439579
广东,2025,物理,154,439619
广东,2025,物理,153,439638
广东,2025,物理,152,439653
广东,2025,物理,151,439681
广东,2025,物理,150,439705
广东,2025,物理,149,439719
广东,2025,物理,148,439738
广东,2025,物理,147,439756
广东,2025,物理,146,439774
广东,2025,物理,145,439793
广东,2025,物理,144,439806
广东,2025,物理,143,439819
广东,2025,物理,142,439828
广东,2025,物理,141,439842
广东,2025,物理,140,439850
广东,2025,物理,139,439865
广东,2025,物理,138,439874
广东,2025,物理,137,439885
广东,2025,物理,136,439895
广东,2025,物理,135,439920
广东,2025,物理,134,439931
广东,2025,物理,133,439947
广东,2025,物理,132,439962
广东,2025,物理,131,439973
广东,2025,物理,130,439980
广东,2025,物理,129,439986
广东,2025,物理,128,439991
广东,2025,物理,127,440001
广东,2025,物理,126,440007
广东,2025,物理,125,440018
广东,2025,物理,124,440022
广东,2025,物理,123,440034
广东,2025,物理,122,440040
广东,2025,物理,121,440043
广东,2025,物理,120,440050
广东,2025,物理,119,440062
广东,2025,物理,118,440071
广东,2025,物理,117,440076
广东,2025,物理,116,440081
广东,2025,物理,115,440090
广东,2025,物理,114,440096
广东,2025,物理,113,440102
广东,2025,物理,112,440115
广东,2025,物理,111,440125
广东,2025,物理,110,440135
广东,2025,物理,109,440142
广东,2025,物理,108,440147
广东,2025,物理,107,440155
广东,2025,物理,106,440160
广东,2025,物理,105,440168
广东,2025,物理,104,440178
广东,2025,物理,103,440185
广东,2025,物理,102,440192
广东,2025,物理,101,440198
广东,2025,物理,100,440208
