province,year,track,score,rank
广东,2025,历史,216,287383
广东,2025,历史,215,287507
广东,2025,历史,214,287625
广东,2025,历史,213,287737
广东,2025,历史,212,287844
广东,2025,历史,211,287965
广东,2025,历史,210,288071
广东,2025,历史,209,288177
广东,2025,历史,208,288296
广东,2025,历史,207,288406
广东,2025,历史,206,288502
广东,2025,历史,205,288605
广东,2025,历史,204,288698
广东,2025,历史,203,288801
广东,2025,历史,202,288892
广东,2025,历史,201,288968
广东,2025,历史,200,289048
广东,2025,历史,199,289124
广东,2025,历史,198,289211
广东,2025,历史,197,289288
广东,2025,历史,196,289376
广东,2025,历史,195,289451
广东,2025,历史,194,289530
广东,2025,历史,193,289609
广东,2025,历史,192,289685
广东,2025,历史,191,289742
广东,2025,历史,190,289816
广东,2025,历史,189,289886
广东,2025,历史,188,289943
广东,2025,历史,187,290007
广东,2025,历史,186,290090
广东,2025,历史,185,290155
广东,2025,历史,184,290224
广东,2025,历史,183,290273
广东,2025,历史,182,290336
广东,2025,历史,181,290398
广东,2025,历史,180,290437
广东,2025,历史,179,290498
广东,2025,历史,178,290551
广东,2025,历史,177,290606
广东,2025,历史,176,290659
广东,2025,历史,175,290707
广东,2025,历史,174,290746
广东,2025,历史,173,290800
广东,2025,历史,172,290852
广东,2025,历史,171,290901
广东,2025,历史,170,290952
广东,2025,历史,169,290998
广东,2025,历史,168,291033
广东,2025,历史,167,291076
广东,2025,历史,166,291113
广东,2025,历史,165,291158
广东,2025,历史,164,291199
广东,2025,历史,163,291231
广东,2025,历史,162,291266
广东,2025,历史,161,291297
广东,2025,历史,160,291329
广东,2025,历史,159,291365
广东,2025,历史,158,291402
广东,2025,历史,157,291430
广东,2025,历史,156,291450
广东,2025,历史,155,291482
广东,2025,历史,154,291515
广东,2025,历史,153,291536
广东,2025,历史,152,291566
广东,2025,历史,151,291596
广东,2025,历史,150,291619
广东,2025,历史,149,291638
广东,2025,历史,148,291660
广东,2025,历史,147,291679
广东,2025,历史,146,291696
广东,2025,历史,145,291718
广东,2025,历史,144,291736
广东,2025,历史,143,291757
广东,2025,历史,142,291769
广东,2025,历史,141,291780
广东,2025,历史,140,291791
广东,2025,历史,139,291808
广东,2025,历史,138,291815
广东,2025,历史,137,291829
广东,2025,历史,136,291842
广东,2025,历史,135,291851
广东,2025,历史,134,291857
广东,2025,历史,133,291867
广东,2025,历史,132,291877
广东,2025,历史,131,291889
广东,2025,历史,130,291898
广东,2025,历史,129,291912
广东,2025,历史,128,291919
广东,2025,历史,127,291926
广东,2025,历史,126,291937
广东,2025,历史,125,291953
广东,2025,历史,124,291962
广东,2025,历史,123,291969
广东,2025,历史,122,291978
广东,2025,历史,121,291990
广东,2025,历史,120,291994
广东,2025,历史,119,292001
广东,2025,历史,118,292006
广东,2025,历史,117,292015
广东,2025,历史,116,292025
广东,2025,历史,115,292039
广东,2025,历史,114,292049
广东,2025,历史,113,292063
广东,2025,历史,112,292074
广东,2025,历史,111,292086
广东,2025,历史,110,292098
广东,2025,历史,109,292107
广东,2025,历史,108,292112
广东,2025,历史,107,292123
广东,2025,历史,106,292131
广东,2025,历史,105,292139
广东,2025,历史,104,292152
广东,2025,历史,103,292165
广东,2025,历史,102,292175
广东,2025,历史,101,292185
广东,2025,历史,100,292200
