province,year,track,university,major,min_score,min_rank,batch,admission_count,subject_requirement,tuition,notes
广东,2025,历史,天津外国语大学,专业组 204,566,16394,本科批,2,历史,0,院校代码:10068;专业组:204;计划数:2
广东,2025,历史,天津外国语大学(中外合作办学),专业组 205,552,23070,本科批,1,历史,0,院校代码:10068;专业组:205;计划数:1
广东,2025,历史,天津商业大学,专业组 209,547,25624,本科批,3,历史,0,院校代码:10069;专业组:209;计划数:3
广东,2025,历史,天津商业大学,专业组 210,544,27293,本科批,3,历史,0,院校代码:10069;专业组:210;计划数:3
广东,2025,历史,天津商业大学,专业组 211,545,26854,本科批,28,历史,0,院校代码:10069;专业组:211;计划数:28
广东,2025,历史,天津商业大学(中外合作办学),专业组 212,546,26221,本科批,3,历史,0,院校代码:10069;专业组:212;计划数:3
广东,2025,历史,天津财经大学,专业组 207,562,18248,本科批,15,历史,0,院校代码:10070;专业组:207;计划数:15
广东,2025,历史,天津财经大学(中外合作办学),专业组 208,558,20181,本科批,2,历史,0,院校代码:10070;专业组:208;计划数:2
广东,2025,历史,天津体育学院,专业组 208,534,33166,本科批,1,历史,0,院校代码:10071;专业组:208;计划数:1
广东,2025,历史,天津体育学院,专业组 209,523,40805,本科批,2,历史,0,院校代码:10071;专业组:209;计划数:2
广东,2025,历史,天津体育学院,专业组 210,514,47123,本科批,2,历史,0,院校代码:10071;专业组:210;计划数:2
广东,2025,历史,天津美术学院,专业组 204,536,32227,本科批,2,历史,0,院校代码:10073;专业组:204;计划数:2
广东,2025,历史,河北地质大学,专业组 204,533,34295,本科批,6,历史,0,院校代码:10077;专业组:204;计划数:6
广东,2025,历史,华北电力大学(保定),专业组 206,583,10068,本科批,10,历史,0,院校代码:10079;专业组:206;计划数:10
广东,2025,历史,华北理工大学(联合培养),专业组 212,521,41913,本科批,2,历史,0,院校代码:10081;专业组:212;计划数:2
广东,2025,历史,华北理工大学,专业组 213,552,23019,本科批,4,历史,0,院校代码:10081;专业组:213;计划数:4
广东,2025,历史,华北理工大学,专业组 214,536,32226,本科批,2,历史,0,院校代码:10081;专业组:214;计划数:2
广东,2025,历史,河北医科大学,专业组 205,546,26406,本科批,3,历史,0,院校代码:10089;专业组:205;计划数:3
广东,2025,历史,河北师范大学,专业组 204,550,24225,本科批,4,历史,0,院校代码:10094;专业组:204;计划数:4
广东,2025,历史,衡水学院,专业组 212,519,43517,本科批,2,历史,0,院校代码:10101;专业组:212;计划数:2
广东,2025,历史,邢台学院,专业组 203,519,43678,本科批,8,历史,0,院校代码:10104;专业组:203;计划数:8
广东,2025,历史,沧州师范学院,专业组 203,518,44350,本科批,10,历史,0,院校代码:10105;专业组:203;计划数:10
广东,2025,历史,石家庄铁道大学,专业组 206,536,32215,本科批,2,历史,0,院校代码:10107;专业组:206;计划数:2
广东,2025,历史,山西大学,专业组 203,576,12567,本科批,16,历史,0,院校代码:10108;专业组:203;计划数:16
广东,2025,历史,中北大学,专业组 216,534,33761,本科批,10,历史,0,院校代码:10110;专业组:216;计划数:10
广东,2025,历史,山西农业大学,专业组 208,524,39784,本科批,5,历史,0,院校代码:10113;专业组:208;计划数:5
广东,2025,历史,山西农业大学,专业组 209,529,36595,本科批,5,历史,0,院校代码:10113;专业组:209;计划数:5
广东,2025,历史,山西医科大学,专业组 206,523,40396,本科批,4,历史,0,院校代码:10114;专业组:206;计划数:4
广东,2025,历史,山西师范大学,专业组 209,541,28859,本科批,12,历史,0,院校代码:10118;专业组:209;计划数:12
广东,2025,历史,山西大同大学,专业组 204,519,43516,本科批,5,历史,0,院校代码:10120;专业组:204;计划数:5
广东,2025,历史,山西财经大学,专业组 204,540,29471,本科批,4,历史,0,院校代码:10125;专业组:204;计划数:4
广东,2025,历史,内蒙古大学,专业组 212,568,15361,本科批,2,历史,0,院校代码:10126;专业组:212;计划数:2
广东,2025,历史,内蒙古大学,专业组 213,586,9049,本科批,1,历史,0,院校代码:10126;专业组:213;计划数:1
广东,2025,历史,内蒙古大学,专业组 214,564,17392,本科批,11,历史,0,院校代码:10126;专业组:214;计划数:11
广东,2025,历史,内蒙古大学,专业组 215,561,18708,本科批,2,历史,0,院校代码:10126;专业组:215;计划数:2
广东,2025,历史,内蒙古大学,专业组 216,570,14603,本科批,4,历史,0,院校代码:10126;专业组:216;计划数:4
广东,2025,历史,内蒙古科技大学,专业组 206,519,43313,本科批,10,历史,0,院校代码:10127;专业组:206;计划数:10
广东,2025,历史,内蒙古科技大学,专业组 207,520,42923,本科批,3,历史,0,院校代码:10127;专业组:207;计划数:3
广东,2025,历史,内蒙古农业大学,专业组 205,517,44727,本科批,4,历史,0,院校代码:10129;专业组:205;计划数:4
广东,2025,历史,内蒙古师范大学,专业组 208,510,50039,本科批,19,历史,0,院校代码:10135;专业组:208;计划数:19
广东,2025,历史,内蒙古师范大学,专业组 209,527,37886,本科批,5,历史,0,院校代码:10135;专业组:209;计划数:5
广东,2025,历史,内蒙古民族大学,专业组 205,516,45292,本科批,13,历史,0,院校代码:10136;专业组:205;计划数:13
广东,2025,历史,辽宁大学,专业组 201,587,8487,本科批,3,历史,0,院校代码:10140;专业组:201;计划数:3
广东,2025,历史,辽宁大学,专业组 202,576,12327,本科批,44,历史,0,院校代码:10140;专业组:202;计划数:44
广东,2025,历史,辽宁大学(中外合作办学),专业组 203,570,14790,本科批,3,历史,0,院校代码:10140;专业组:203;计划数:3
广东,2025,历史,辽宁大学(中外合作办学),专业组 204,575,12898,本科批,1,历史,0,院校代码:10140;专业组:204;计划数:1
广东,2025,历史,辽宁大学(中外合作办学),专业组 205,557,20688,本科批,1,历史,0,院校代码:10140;专业组:205;计划数:1
广东,2025,历史,辽宁大学(中外合作办学),专业组 206,575,12694,本科批,1,历史,0,院校代码:10140;专业组:206;计划数:1
广东,2025,历史,辽宁大学(中外合作办学),专业组 207,578,11838,本科批,2,历史,0,院校代码:10140;专业组:207;计划数:2
广东,2025,历史,大连理工大学,专业组 207,603,4617,本科批,25,历史,0,院校代码:10141;专业组:207;计划数:25
广东,2025,历史,辽宁工程技术大学,专业组 206,524,40276,本科批,2,历史,0,院校代码:10147;专业组:206;计划数:2
广东,2025,历史,辽宁工程技术大学,专业组 207,520,42541,本科批,6,历史,0,院校代码:10147;专业组:207;计划数:6
广东,2025,历史,大连交通大学(中外合作办学),专业组 205,533,34073,本科批,3,历史,0,院校代码:10150;专业组:205;计划数:3
广东,2025,历史,大连海事大学,专业组 210,589,8114,本科批,3,历史,0,院校代码:10151;专业组:210;计划数:3
广东,2025,历史,大连海事大学,专业组 211,584,9499,本科批,19,历史,0,院校代码:10151;专业组:211;计划数:19
广东,2025,历史,大连海事大学(中外合作办学),专业组 212,605,4187,本科批,3,历史,0,院校代码:10151;专业组:212;计划数:3
广东,2025,历史,大连工业大学,专业组 209,522,41261,本科批,2,历史,0,院校代码:10152;专业组:209;计划数:2
广东,2025,历史,大连工业大学,专业组 210,532,34556,本科批,1,历史,0,院校代码:10152;专业组:210;计划数:1
广东,2025,历史,辽宁中医药大学,专业组 201,566,16196,本科批,2,历史,0,院校代码:10162;专业组:201;计划数:2
广东,2025,历史,辽宁中医药大学,专业组 202,514,46758,本科批,1,历史,0,院校代码:10162;专业组:202;计划数:1
广东,2025,历史,辽宁师范大学(中外合作办学),专业组 204,520,43033,本科批,2,历史,0,院校代码:10165;专业组:204;计划数:2
广东,2025,历史,沈阳师范大学(中外合作办学),专业组 202,515,46208,本科批,4,历史,0,院校代码:10166;专业组:202;计划数:4
广东,2025,历史,渤海大学,专业组 201,538,30730,本科批,1,历史,0,院校代码:10167;专业组:201;计划数:1
广东,2025,历史,渤海大学,专业组 202,511,49348,本科批,1,历史,0,院校代码:10167;专业组:202;计划数:1
广东,2025,历史,鞍山师范学院,专业组 203,520,42849,本科批,1,历史,0,院校代码:10169;专业组:203;计划数:1
广东,2025,历史,大连外国语大学,专业组 206,567,16090,本科批,1,历史,0,院校代码:10172;专业组:206;计划数:1
广东,2025,历史,大连外国语大学,专业组 207,553,22632,本科批,14,历史,0,院校代码:10172;专业组:207;计划数:14
广东,2025,历史,东北财经大学,专业组 201,561,18502,本科批,2,历史,0,院校代码:10173;专业组:201;计划数:2
广东,2025,历史,东北财经大学,专业组 202,578,11633,本科批,10,历史,0,院校代码:10173;专业组:202;计划数:10
